EMP_ID,F_NAME,L_NAME,SSN,B_DATE,SEX,ADDRESS,JOB_ID,SALARY,MANAGER_ID,DEP_ID,DEPT_ID_DEP,DEP_NAME,MANAGER_ID,LOC_ID
"E1001    ","John","Thomas","123456   ","1976-01-09","M","5631 Rice, OakPark,IL","100      ","100000.00","30001    ","2        ","2        ","Architect Group","30001    ","L0001    "
"E1002    ","Alice","James","123457   ","1972-07-31","F","980 Berry ln, Elgin,IL","200      ","80000.00","30002    ","5        ","2        ","Architect Group","30001    ","L0001    "
"E1003    ","Steve","Wells","123458   ","1980-08-10","M","291 Springs, Gary,IL","300      ","50000.00","30002    ","5        ","2        ","Architect Group","30001    ","L0001    "
"E1004    ","Santosh","Kumar","123459   ","1985-07-20","M","511 Aurora Av, Aurora,IL","400      ","60000.00","30004    ","5        ","2        ","Architect Group","30001    ","L0001    "
"E1005    ","Ahmed","Hussain","123410   ","1981-01-04","M","216 Oak Tree, Geneva,IL","500      ","70000.00","30001    ","2        ","2        ","Architect Group","30001    ","L0001    "
"E1006    ","Nancy","Allen","123411   ","1978-02-06","F","111 Green Pl, Elgin,IL","600      ","90000.00","30001    ","2        ","2        ","Architect Group","30001    ","L0001    "
"E1007    ","Mary","Thomas","123412   ","1975-05-05","F","100 Rose Pl, Gary,IL","650      ","65000.00","30003    ","7        ","2        ","Architect Group","30001    ","L0001    "
"E1008    ","Bharath","Gupta","123413   ","1985-05-06","M","145 Berry Ln, Naperville,IL","660      ","65000.00","30003    ","7        ","2        ","Architect Group","30001    ","L0001    "
"E1009    ","Andrea","Jones","123414   ","1990-07-09","F","120 Fall Creek, Gary,IL","234      ","70000.00","30003    ","7        ","2        ","Architect Group","30001    ","L0001    "
"E1010    ","Ann","Jacob","123415   ","1982-03-30","F","111 Britany Springs,Elgin,IL","220      ","70000.00","30004    ","5        ","2        ","Architect Group","30001    ","L0001    "
"E1001    ","John","Thomas","123456   ","1976-01-09","M","5631 Rice, OakPark,IL","100      ","100000.00","30001    ","2        ","5        ","Software Group","30002    ","L0002    "
"E1002    ","Alice","James","123457   ","1972-07-31","F","980 Berry ln, Elgin,IL","200      ","80000.00","30002    ","5        ","5        ","Software Group","30002    ","L0002    "
"E1003    ","Steve","Wells","123458   ","1980-08-10","M","291 Springs, Gary,IL","300      ","50000.00","30002    ","5        ","5        ","Software Group","30002    ","L0002    "
"E1004    ","Santosh","Kumar","123459   ","1985-07-20","M","511 Aurora Av, Aurora,IL","400      ","60000.00","30004    ","5        ","5        ","Software Group","30002    ","L0002    "
"E1005    ","Ahmed","Hussain","123410   ","1981-01-04","M","216 Oak Tree, Geneva,IL","500      ","70000.00","30001    ","2        ","5        ","Software Group","30002    ","L0002    "
"E1006    ","Nancy","Allen","123411   ","1978-02-06","F","111 Green Pl, Elgin,IL","600      ","90000.00","30001    ","2        ","5        ","Software Group","30002    ","L0002    "
"E1007    ","Mary","Thomas","123412   ","1975-05-05","F","100 Rose Pl, Gary,IL","650      ","65000.00","30003    ","7        ","5        ","Software Group","30002    ","L0002    "
"E1008    ","Bharath","Gupta","123413   ","1985-05-06","M","145 Berry Ln, Naperville,IL","660      ","65000.00","30003    ","7        ","5        ","Software Group","30002    ","L0002    "
"E1009    ","Andrea","Jones","123414   ","1990-07-09","F","120 Fall Creek, Gary,IL","234      ","70000.00","30003    ","7        ","5        ","Software Group","30002    ","L0002    "
"E1010    ","Ann","Jacob","123415   ","1982-03-30","F","111 Britany Springs,Elgin,IL","220      ","70000.00","30004    ","5        ","5        ","Software Group","30002    ","L0002    "
"E1001    ","John","Thomas","123456   ","1976-01-09","M","5631 Rice, OakPark,IL","100      ","100000.00","30001    ","2        ","7        ","Design Team","30003    ","L0003    "
"E1002    ","Alice","James","123457   ","1972-07-31","F","980 Berry ln, Elgin,IL","200      ","80000.00","30002    ","5        ","7        ","Design Team","30003    ","L0003    "
"E1003    ","Steve","Wells","123458   ","1980-08-10","M","291 Springs, Gary,IL","300      ","50000.00","30002    ","5        ","7        ","Design Team","30003    ","L0003    "
"E1004    ","Santosh","Kumar","123459   ","1985-07-20","M","511 Aurora Av, Aurora,IL","400      ","60000.00","30004    ","5        ","7        ","Design Team","30003    ","L0003    "
"E1005    ","Ahmed","Hussain","123410   ","1981-01-04","M","216 Oak Tree, Geneva,IL","500      ","70000.00","30001    ","2        ","7        ","Design Team","30003    ","L0003    "
"E1006    ","Nancy","Allen","123411   ","1978-02-06","F","111 Green Pl, Elgin,IL","600      ","90000.00","30001    ","2        ","7        ","Design Team","30003    ","L0003    "
"E1007    ","Mary","Thomas","123412   ","1975-05-05","F","100 Rose Pl, Gary,IL","650      ","65000.00","30003    ","7        ","7        ","Design Team","30003    ","L0003    "
"E1008    ","Bharath","Gupta","123413   ","1985-05-06","M","145 Berry Ln, Naperville,IL","660      ","65000.00","30003    ","7        ","7        ","Design Team","30003    ","L0003    "
"E1009    ","Andrea","Jones","123414   ","1990-07-09","F","120 Fall Creek, Gary,IL","234      ","70000.00","30003    ","7        ","7        ","Design Team","30003    ","L0003    "
"E1010    ","Ann","Jacob","123415   ","1982-03-30","F","111 Britany Springs,Elgin,IL","220      ","70000.00","30004    ","5        ","7        ","Design Team","30003    ","L0003    "
